player_name,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
Dinesh Karthik,16,16,6,498,52,49.80,337,147.77,0,2,49,16
Chris Lynn,16,16,1,491,74,32.73,377,130.23,0,3,56,18
Sunil Narine,16,16,0,357,75,22.31,188,189.89,0,2,40,23
Robin Uthappa,16,16,0,351,54,21.93,265,132.45,0,1,30,21
Andre Russell,16,14,3,316,88*,28.72,171,184.79,0,1,17,31
Nitish Rana,15,15,2,304,59,23.38,232,131.03,0,1,26,14
Shubman Gill,13,11,5,203,57*,33.83,139,146.04,0,1,22,5
Rinku Singh,4,4,0,29,16,7.25,31,93.54,0,0,4,0
Piyush Chawla,15,7,3,27,12,6.75,34,79.41,0,0,1,1
Tom Curran,5,4,1,23,18,7.66,28,82.14,0,0,3,0
Mitchell Johnson,6,2,2,16,12*,0.00,11,145.45,0,0,2,0
Shivam Mavi,9,4,1,13,7,4.33,15,86.66,0,0,1,0
Kuldeep Yadav,16,3,2,12,7*,12.00,24,50.00,0,0,1,0
Javon Searles,4,2,1,8,6*,8.00,6,133.33,0,0,0,1
Vinay Kumar,2,1,1,6,6*,0.00,3,200.00,0,0,1,0
Prasidh Krishna,7,2,2,1,1*,0.00,5,20.00,0,0,0,0
