player_name,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
Shubman Gill,17,17,0,478,57,28.11,402,118.90,0,3,50,12
Rahul Tripathi,17,16,2,397,74*,28.35,283,140.28,0,2,41,11
Nitish Rana,17,16,3,383,80,29.46,314,121.97,0,2,34,17
Venkatesh Iyer,10,10,1,370,67,41.11,288,128.47,0,4,37,14
Dinesh Karthik,17,15,5,223,40,22.30,170,131.17,0,0,22,7
Andre Russell,10,9,2,183,54,26.14,120,152.50,0,1,14,14
Eoin Morgan,17,16,4,133,47*,11.08,139,95.68,0,0,8,6
Pat Cummins,7,5,2,93,66*,31.00,56,166.07,0,1,5,8
Sunil Narine,14,10,2,62,26,7.75,47,131.91,0,0,3,5
Shakib Al Hasan,8,6,1,47,26,9.40,48,97.91,0,0,3,1
Shivam Mavi,9,2,0,25,20,12.50,20,125.00,0,0,2,2
Lockie Ferguson,8,3,3,18,18*,0.00,11,163.63,0,0,1,1
Harbhajan Singh,3,2,2,4,2*,0.00,4,100.00,0,0,0,0
Tim Southee,3,1,0,3,3,3.00,5,60.00,0,0,0,0
Tim Seifert,1,1,0,2,2,2.00,4,50.00,0,0,0,0
Varun Chakaravarthy,17,3,2,2,2*,2.00,4,50.00,0,0,0,0
Kamlesh Nagarkoti,1,1,0,0,0*,0.00,2,0.00,0,0,0,0
Prasidh Krishna,10,2,1,0,0*,0.00,1,0.00,0,0,0,0
