player_name,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
David Warner,12,12,3,432,92,48.00,287,150.52,0,5,52,15
Rishabh Pant,14,13,2,340,44,30.91,224,151.78,0,0,35,16
Prithvi Shaw,10,10,0,283,61,28.30,185,152.97,0,2,37,10
Mitchell Marsh,8,8,0,251,89,31.38,189,132.80,0,2,19,14
Rovman Powell,14,12,2,250,67,25.00,167,149.70,0,1,10,22
Axar Patel,13,10,6,182,42,45.50,120,151.66,0,0,12,10
Lalit Yadav,12,8,1,161,48,23.00,146,110.27,0,0,11,7
Shardul Thakur,14,10,2,120,29,15.00,87,137.93,0,0,7,7
Sarfaraz Khan,6,5,2,91,36,30.33,67,135.82,0,0,9,2
Kuldeep Yadav,14,7,6,48,16,48.00,52,92.30,0,0,3,2
Tim Seifert,2,2,0,24,21,12.00,19,126.31,0,0,4,0
Mandeep Singh,3,3,0,18,18,6.00,23,78.26,0,0,4,0
Srikar Bharat,2,2,0,8,8,4.00,7,114.28,0,0,2,0
Ripal Patel,2,1,0,6,6,6.00,3,200.00,0,0,0,1
Mustafizur Rahman,8,1,1,3,3,0,5,60.00,0,0,0,0
Anrich Nortje,6,1,1,1,1,0,6,16.66,0,0,0,0
