player_name,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
Shreyas Iyer,14,14,1,401,85,30.85,298,134.56,0,3,41,11
Nitish Rana,14,14,1,361,57,27.77,251,143.82,0,2,29,22
Andre Russell,14,12,3,335,70*,37.22,192,174.47,0,1,18,32
Venkatesh Iyer,12,12,1,182,50*,16.55,169,107.69,0,1,17,7
Rinku Singh,7,7,2,174,42*,34.80,117,148.71,0,0,17,7
Sam Billings,8,8,1,169,36,24.14,138,122.46,0,0,9,10
Ajinkya Rahane,7,7,0,133,44,19.00,128,103.90,0,0,14,4
Aaron Finch,5,5,0,86,58,17.20,61,140.98,0,1,10,3
Sunil Narine,14,10,2,71,22,8.88,40,177.50,0,0,6,6
Pat Cummins,5,5,1,63,56*,15.75,24,262.50,0,1,5,6
Umesh Yadav,12,7,3,55,21,13.75,40,137.50,0,0,4,4
Sheldon Jackson,5,5,1,23,8,5.75,26,88.46,0,0,0,1
B Indrajith,3,3,0,21,15,7.00,30,70.00,0,0,2,0
Varun Chakaravarthy,11,4,4,12,10*,0,18,66.66,0,0,2,0
Rasikh Salam,2,1,0,7,7,7.00,6,116.66,0,0,1,0
Aman Khan,1,1,0,5,5,5.00,3,166.66,0,0,1,0
Abhijeet Tomar,1,1,0,4,4,4.00,8,50.00,0,0,1,0
Shivam Mavi,6,3,1,3,2,1.50,7,42.85,0,0,0,0
Harshit Rana,2,2,1,2,2,2.00,2,100.00,0,0,0,0
Tim Southee,9,5,1,2,1*,0.50,12,16.66,0,0,0,0
