player_name,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
Ruturaj Gaikwad,14,14,0,368,99,26.29,291,126.46,0,3,33,14
Shivam Dube,11,11,1,289,95*,28.90,185,156.21,0,2,22,16
Ambati Rayudu,13,11,0,274,78,24.91,224,122.32,0,1,25,15
Devon Conway,7,7,1,252,87,42.00,173,145.66,0,3,22,12
Moeen Ali,10,10,0,244,93,24.40,177,137.85,0,1,24,11
MS Dhoni,14,13,6,232,50*,33.14,188,123.40,0,1,21,10
Robin Uthappa,12,11,0,230,88,20.91,171,134.50,0,2,19,14
Ravindra Jadeja,10,10,4,116,26*,19.33,98,118.36,0,0,6,5
Dwaine Pretorius,6,5,1,44,22,11.00,28,157.14,0,0,3,3
Jagadeesan Narayan,2,2,1,40,39*,40.00,37,108.10,0,0,3,1
Dwayne Bravo,10,6,4,23,12,11.50,24,95.83,0,0,1,1
Mitchell Santner,6,4,2,22,11,11.00,27,81.48,0,0,3,0
Chris Jordan,4,2,1,11,6*,11.00,8,137.50,0,0,0,0
Maheesh Theekshana,9,2,1,7,7*,7.00,7,100.00,0,0,0,1
Simarjeet Singh,6,3,2,7,3*,7.00,8,87.50,0,0,0,0
Mukesh Choudhary,13,2,1,6,4,6.00,6,100.00,0,0,1,0
