player_name,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
Ishan Kishan,14,14,1,418,81*,32.15,348,120.11,0,3,45,11
Tilak Varma,14,14,3,397,61,36.09,303,131.02,0,2,29,16
Suryakumar Yadav,8,8,1,303,68*,43.29,208,145.67,0,3,23,16
Rohit Sharma,14,14,0,268,48,19.14,223,120.17,0,0,28,13
Tim David,8,8,3,186,46,37.20,86,216.27,0,0,12,16
Dewald Brevis,7,7,0,161,49,23.00,113,142.47,0,0,14,11
Kieron Pollard,11,11,1,144,25,14.40,134,107.46,0,0,6,9
Jaydev Unadkat,5,5,2,59,19*,19.67,37,159.45,0,0,4,3
Ramandeep Singh,5,4,2,45,14*,22.50,40,112.50,0,0,3,1
Hrithik Shokeen,5,3,1,43,25,21.50,48,89.58,0,0,5,0
Daniel Sams,11,10,3,38,15,5.43,36,105.55,0,0,1,3
Anmolpreet Singh,2,2,0,13,8,6.50,13,100.00,0,0,1,0
Murugan Ashwin,8,5,2,12,6,4.00,14,85.71,0,0,1,1
Fabian Allen,1,1,0,8,8,8.00,7,114.28,0,0,1,0
Kumar Kartikeya Singh,4,1,0,3,3,3.00,5,60.00,0,0,0,0
Tristan Stubbs,2,2,0,2,2,1.00,4,50.00,0,0,0,0
