player_name,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
Abhishek Sharma,14,14,0,426,75,30.43,320,133.12,0,2,47,13
Rahul Tripathi,14,14,3,413,76,37.55,261,158.23,0,3,40,20
Aiden Markram,14,12,4,381,68*,47.63,274,139.05,0,3,25,19
Nicholas Pooran,14,13,5,306,64*,38.25,212,144.33,0,2,16,21
Kane Williamson,13,13,2,216,57,19.64,231,93.50,0,1,16,8
Washington Sundar,9,7,0,101,40,14.43,69,146.37,0,0,9,3
Shashank Singh,10,5,1,69,25*,17.25,47,146.80,0,0,5,4
Romario Shepherd,3,3,1,58,26*,29.00,41,141.46,0,0,2,5
Priyam Garg,2,2,0,46,42,23.00,33,139.39,0,0,4,2
Bhuvneshwar Kumar,14,6,3,24,8,8.00,26,92.30,0,0,3,0
Shreyas Gopal,1,1,1,9,9*,0,7,128.57,0,0,2,0
Marco Jansen,8,3,2,9,8*,9.00,7,128.57,0,0,0,1
Sean Abbott,1,1,0,7,7,7.00,5,140.00,0,0,0,1
Kartik Tyagi,2,2,0,7,7,3.50,6,116.66,0,0,1,0
Abdul Samad,2,2,0,4,4,2.00,7,57.14,0,0,0,0
Umran Malik,14,4,3,4,3*,4.00,8,50.00,0,0,0,0
Fazalhaq Farooqi,3,1,1,2,2*,0,8,25.00,0,0,0,0
Jagadeesha Suchith,5,2,0,2,2,1.00,8,25.00,0,0,0,0
