player_name,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
Jos Buttler,17,17,2,863,116,57.53,579,149.05,4,4,83,45
Sanju Samson,17,17,1,458,55,28.63,312,146.79,0,2,43,26
Devdutt Padikkal,17,17,0,376,54,22.12,306,122.87,0,1,40,14
Shimron Hetmyer,15,15,8,314,59*,44.86,204,153.92,0,1,21,21
Yashasvi Jaiswal,10,10,0,258,68,25.80,194,132.98,0,2,28,10
Ravichandran Ashwin,17,12,5,191,50,27.29,135,141.48,0,1,14,9
Riyan Parag,17,14,3,183,56*,16.64,132,138.63,0,1,11,10
Trent Boult,16,8,6,40,17*,20.00,29,137.93,0,0,2,1
Daryl Mitchell,2,2,0,33,17,16.50,44,75.00,0,0,1,0
James Neesham,2,2,0,31,17,15.50,27,114.81,0,0,3,0
Rassie van der Dussen,3,3,1,22,12*,11.00,24,91.66,0,0,2,0
Karun Nair,3,2,0,16,13,8.00,18,88.88,0,0,1,0
Obed McCoy,7,1,0,8,8,8.00,5,160.00,0,0,0,1
Prasidh Krishna,17,3,2,6,4*,6.00,12,50.00,0,0,0,0
Yuzvendra Chahal,17,2,1,5,5,5.00,8,62.50,0,0,0,0
Navdeep Saini,2,1,0,2,2,2.00,2,100.00,0,0,0,0
Nathan Coulter-Nile,1,1,1,1,1*,0,2,50.00,0,0,0,0
