player_name,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
Shikhar Dhawan,16,16,1,521,97*,34.73,384,135.67,0,5,64,11
Rishabh Pant,16,16,3,488,78*,37.53,300,162.66,0,3,37,27
Shreyas Iyer,16,16,1,463,67,30.86,386,119.94,0,3,41,14
Prithvi Shaw,16,16,0,353,99,22.06,264,133.71,0,2,45,9
Colin Ingram,12,12,2,184,47,18.40,154,119.48,0,0,20,5
Axar Patel,14,12,6,110,26,18.33,88,125.00,0,0,10,3
Colin Munro,4,4,0,84,40,21.00,70,120.00,0,0,9,4
Sherfane Rutherford,7,7,2,73,28*,14.60,54,135.18,0,0,2,7
Chris Morris,9,6,0,32,17,5.33,37,86.48,0,0,1,2
Rahul Tewatia,5,4,3,26,11*,26.00,22,118.18,0,0,2,1
Amit Mishra,11,4,2,21,8,10.50,24,87.50,0,0,2,0
Keemo Paul,8,6,1,18,7,3.60,24,75.00,0,0,1,1
Kagiso Rabada,12,4,1,14,9,4.66,15,93.33,0,0,0,1
Ishant Sharma,13,3,3,10,10*,0.00,3,333.33,0,0,1,1
Trent Boult,5,3,2,7,6,7.00,4,175.00,0,0,0,1
Jagadeesha Suchith,1,1,0,6,6,6.00,15,40.00,0,0,0,0
Avesh Khan,1,1,1,4,4*,0.00,3,133.33,0,0,1,0
Hanuma Vihari,2,2,0,4,2,2.00,8,50.00,0,0,0,0
Harshal Patel,2,2,1,0,0*,0.00,2,0.00,0,0,0,0
Sandeep Lamichhane,6,1,0,0,0*,0.00,1,0.00,0,0,0,0
