player_name,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
Quinton de Kock,16,16,1,529,81,35.26,398,132.91,0,4,45,25
Suryakumar Yadav,16,15,2,424,71*,32.61,324,130.86,0,2,45,10
Rohit Sharma,15,15,1,405,67,28.92,315,128.57,0,2,52,10
Hardik Pandya,16,15,6,402,91,44.66,210,191.42,0,1,28,29
Kieron Pollard,16,14,6,279,83,34.87,178,156.74,0,1,14,22
Krunal Pandya,16,15,4,183,42,16.63,150,122.00,0,0,18,5
Ishan Kishan,7,6,0,101,28,16.83,100,101.00,0,0,8,4
Yuvraj Singh,4,4,0,98,53,24.50,75,130.66,0,1,7,6
Evin Lewis,3,3,0,48,32,16.00,52,92.30,0,0,4,2
Ben Cutting,3,3,1,18,13*,9.00,17,105.88,0,0,1,1
Siddhesh Lad,1,1,0,15,15,15.00,13,115.38,0,0,1,1
Alzarri Joseph,3,2,2,15,15*,0.00,13,115.38,0,0,2,0
Rahul Chahar,13,4,2,12,10,6.00,11,109.09,0,0,2,0
Mitchell McClenaghan,5,4,1,11,10,3.66,16,68.75,0,0,2,0
Mayank Markande,3,2,1,6,6,6.00,5,120.00,0,0,1,0
Rasikh Salam,1,1,1,5,5*,0.00,4,125.00,0,0,0,0
Barinder Sran,2,1,1,3,3*,0.00,3,100.00,0,0,0,0
Jasprit Bumrah,16,3,3,0,0*,0.00,1,0.00,0,0,0,0
