player_id,player_name,player_role
CSK100,MS DHONI,WK Keeper - Batter
CSK101,RUTURAJ GAIKWAD,Batter
CSK102,AMBATI RAYUDU,Batter
CSK103,MURALI VIJAY,Batter
CSK104,NARAYAN JAGADEESAN,Batter
CSK105,FAF DU PLESSIS,Batter
CSK106,SHANE WATSON,All-Rounder
CSK107,KEDAR JADHAV,All-Rounder
CSK108,RAVINDRA JADEJA,All-Rounder
CSK109,MITCHELL SANTNER,All-Rounder
CSK110,DWAYNE BRAVO,All-Rounder
CSK111,SAM CURRAN,All-Rounder
CSK112,KARN SHARMA,All-Rounder
CSK113,IMRAN TAHIR,Bowler
CSK114,LUNGI NGIDI,Bowler
CSK115,DEEPAK CHAHAR,Bowler
CSK116,PIYUSH CHAWLA,Bowler
CSK117,KM ASIF,Bowler
CSK118,SHARDUL THAKUR,Bowler
CSK119,SAI KISHORE,Bowler
CSK120,MONU KUMAR,Bowler
CSK121,JOSH HAZLEWOOD,Bowler
